,Date,Complaint Type,Descriptor,Location Type,Incident Address,City,Borough,Latitude,Longitude
0,02/29/2020,1831,1831,1831,1831,1831,1831,1831,1831
1,03/01/2020,1845,1845,1845,1845,1845,1845,1845,1845
2,03/02/2020,1470,1470,1470,1470,1470,1470,1470,1470
3,03/03/2020,1447,1447,1447,1447,1447,1447,1447,1447
4,03/04/2020,1405,1405,1405,1405,1405,1405,1405,1405
5,03/05/2020,1578,1578,1578,1578,1578,1578,1578,1578
6,03/06/2020,1577,1577,1577,1577,1577,1577,1577,1577
7,03/07/2020,1994,1994,1994,1994,1994,1994,1994,1994
8,03/08/2020,2080,2080,2080,2080,2080,2080,2080,2080
9,03/09/2020,2003,2003,2003,2003,2003,2003,2003,2003
10,03/10/2020,1641,1641,1641,1641,1641,1641,1641,1641
11,03/11/2020,1551,1551,1551,1551,1551,1551,1551,1551
12,03/12/2020,1419,1419,1419,1419,1419,1419,1419,1419
13,03/13/2020,1729,1729,1729,1729,1729,1729,1729,1729
14,03/14/2020,2063,2063,2063,2063,2063,2063,2063,2063
15,03/15/2020,2052,2052,2052,2052,2052,2052,2052,2052
16,03/16/2020,1297,1297,1297,1297,1297,1297,1297,1297
17,03/17/2020,1434,1434,1434,1434,1434,1434,1434,1434
18,03/18/2020,1365,1365,1365,1365,1365,1365,1365,1365
19,03/19/2020,1276,1276,1276,1276,1276,1276,1276,1276
20,03/20/2020,1855,1855,1855,1855,1855,1855,1855,1855
21,03/21/2020,1842,1842,1842,1842,1842,1842,1842,1842
22,03/22/2020,1363,1363,1363,1363,1363,1363,1363,1363
23,03/23/2020,904,904,904,904,904,904,904,904
24,03/24/2020,1199,1199,1199,1199,1199,1199,1199,1199
25,03/25/2020,1135,1135,1135,1135,1135,1135,1135,1135
26,03/26/2020,1236,1236,1236,1236,1236,1236,1236,1236
27,03/27/2020,1902,1902,1902,1902,1902,1902,1902,1902
28,03/28/2020,1371,1371,1371,1371,1371,1371,1371,1371
29,03/29/2020,1372,1372,1372,1372,1372,1372,1372,1372
30,03/30/2020,1707,1707,1707,1707,1707,1707,1707,1707
31,03/31/2020,1587,1587,1587,1587,1587,1587,1587,1587
32,04/01/2020,1721,1721,1721,1721,1721,1721,1721,1721
33,04/02/2020,1597,1597,1597,1597,1597,1597,1597,1597
34,04/03/2020,1491,1491,1491,1491,1491,1491,1491,1491
35,04/04/2020,2132,2132,2132,2132,2132,2132,2132,2132
36,04/05/2020,1990,1990,1990,1990,1990,1990,1990,1990
37,04/06/2020,2239,2239,2239,2239,2239,2239,2239,2239
38,04/07/2020,2032,2032,2032,2032,2032,2032,2032,2032
39,04/08/2020,1859,1859,1859,1859,1859,1859,1859,1859
40,04/09/2020,1491,1491,1491,1491,1491,1491,1491,1491
41,04/10/2020,1464,1464,1464,1464,1464,1464,1464,1464
42,04/11/2020,2309,2309,2309,2309,2309,2309,2309,2309
43,04/12/2020,2820,2820,2820,2820,2820,2820,2820,2820
44,04/13/2020,1560,1560,1560,1560,1560,1560,1560,1560
45,04/14/2020,2128,2128,2128,2128,2128,2128,2128,2128
46,04/15/2020,1728,1728,1728,1728,1728,1728,1728,1728
47,04/16/2020,1682,1682,1682,1682,1682,1682,1682,1682
48,04/17/2020,2103,2103,2103,2103,2103,2103,2103,2103
49,04/18/2020,1969,1969,1969,1969,1969,1969,1969,1969
50,04/19/2020,3196,3196,3196,3196,3196,3196,3196,3196
51,04/20/2020,2266,2266,2266,2266,2266,2266,2266,2266
52,04/21/2020,2250,2250,2250,2250,2250,2250,2250,2250
53,04/22/2020,1860,1860,1860,1860,1860,1860,1860,1860
54,04/23/2020,1942,1942,1942,1942,1942,1942,1942,1942
55,04/24/2020,2282,2282,2282,2282,2282,2282,2282,2282
56,04/25/2020,3426,3426,3426,3426,3426,3426,3426,3426
57,04/26/2020,1979,1979,1979,1979,1979,1979,1979,1979
58,04/27/2020,1696,1696,1696,1696,1696,1696,1696,1696
59,04/28/2020,2647,2647,2647,2647,2647,2647,2647,2647
60,04/29/2020,1753,1753,1753,1753,1753,1753,1753,1753
61,04/30/2020,1436,1436,1436,1436,1436,1436,1436,1436
62,05/01/2020,3386,3386,3386,3386,3386,3386,3386,3386
63,05/02/2020,5171,5171,5171,5171,5171,5171,5171,5171
64,05/03/2020,5089,5089,5089,5089,5089,5089,5089,5089
65,05/04/2020,3143,3143,3143,3143,3143,3143,3143,3143
66,05/05/2020,3514,3514,3514,3514,3514,3514,3514,3514
67,05/06/2020,1823,1823,1823,1823,1823,1823,1823,1823
68,05/07/2020,2606,2606,2606,2606,2606,2606,2606,2606
69,05/08/2020,1974,1974,1974,1974,1974,1974,1974,1974
70,05/09/2020,1939,1939,1939,1939,1939,1939,1939,1939
71,05/10/2020,3351,3351,3351,3351,3351,3351,3351,3351
72,05/11/2020,2350,2350,2350,2350,2350,2350,2350,2350
73,05/12/2020,2379,2379,2379,2379,2379,2379,2379,2379
74,05/13/2020,2513,2513,2513,2513,2513,2513,2513,2513
75,05/14/2020,2916,2916,2916,2916,2916,2916,2916,2916
76,05/15/2020,4850,4850,4850,4850,4850,4850,4850,4850
77,05/16/2020,5782,5782,5782,5782,5782,5782,5782,5782
78,05/17/2020,4185,4185,4185,4185,4185,4185,4185,4185
79,05/18/2020,2835,2835,2835,2835,2835,2835,2835,2835
80,05/19/2020,3266,3266,3266,3266,3266,3266,3266,3266
81,05/20/2020,2573,2573,2573,2573,2573,2573,2573,2573
82,05/21/2020,2296,2296,2296,2296,2296,2296,2296,2296
83,05/22/2020,3418,3418,3418,3418,3418,3418,3418,3418
